start_dt,end_dt,machine,benchmark,header,#SDC,#DUE,#abort,#end,acc_time,Time Beam Off,acc_err,Flux 1h,Fluency(Flux * $AccTime),Cross Section SDC,Cross Section DUE
2021-05-07 09:57:11,2021-05-07 10:57:11,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",0,1,0,0,13.516591,3567.564000000012,0,35332.71476338382,477577.85437632084,0.0,2.093899436157737e-06
2021-06-03 19:19:36,2021-06-03 20:19:36,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",212,15,0,0,2693.525738,450.4379999999998,444,3430835.3611923256,9241043348.212055,2.2941132511949257e-08,1.6231933381096173e-09
2021-06-03 21:37:20,2021-06-03 22:37:20,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",259,5,1,1,2972.193309,0.0,416,3921499.973739959,11655455983.193583,2.2221352847409947e-08,4.289836457028947e-10
2021-06-04 00:24:52,2021-06-04 01:24:52,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",222,8,0,0,2771.2854129999996,18.016,365,3901875.0449824864,10813209395.508682,2.053044492897814e-08,7.398358532965096e-10
2021-06-04 02:48:06,2021-06-04 03:48:06,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",225,2,1,1,2896.2106019999997,279.28499999999985,432,3617273.2736938577,10476385205.603397,2.1476873519279964e-08,1.909055423935997e-10
2021-06-04 06:00:15,2021-06-04 07:00:15,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",186,9,0,0,2615.428792,0.0,279,3921499.973739959,10256403939.146732,1.8135011169955345e-08,8.775005404817103e-10
2021-06-04 08:03:03,2021-06-04 09:03:03,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",161,8,0,0,4147.549207,1504.5609999999936,233,2282573.328742697,9467085199.546124,1.7006290384681313e-08,8.450330625928602e-10
2021-06-04 11:19:21,2021-06-04 12:19:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",293,7,0,0,4273.043134,390.38499999999993,524,3496251.42728205,14939633156.085262,1.9612262024027964e-08,4.685523350450366e-10
2021-06-04 13:54:16,2021-06-04 14:54:16,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",218,8,0,0,2929.916621,270.2939999999998,332,3627067.219878273,10627004533.005613,2.0513776890085087e-08,7.52799151929728e-10
2021-06-04 16:26:23,2021-06-04 17:26:23,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",172,1,1,1,3201.275655,21.022,411,3898600.592504414,12480495165.352955,1.378150447728135e-08,8.012502603070552e-11
2021-06-04 18:38:27,2021-06-04 19:38:27,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",32,4,0,0,366.01091,0.0,47,3921499.973739959,1435311773.9535384,2.2294807707078597e-08,2.7868509633848246e-09
2021-06-04 21:49:45,2021-06-04 22:49:45,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",292,12,0,0,3305.627044,0.0,502,3921499.973739959,12963016366.240097,2.2525621487330895e-08,9.257104720820916e-10
2021-06-04 23:09:52,2021-06-05 00:09:52,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",248,10,1,1,2770.6748419999994,0.0,425,3921499.973739959,10865201320.144962,2.2825163813595236e-08,9.203695086127112e-10
2021-06-05 00:18:17,2021-06-05 01:18:17,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",224,8,1,1,2938.095657,0.0,370,3921499.973739959,11521742041.770987,1.9441504521443822e-08,6.943394471944222e-10
2021-06-05 01:26:31,2021-06-05 02:26:31,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",239,9,0,0,3332.0897029999996,0.0,428,3921499.973739959,13066789682.813686,1.82906441292423e-08,6.88769025787367e-10
2021-06-05 02:42:19,2021-06-05 03:42:19,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",478,8,0,0,5586.419736,0.0,802,3921499.973739959,21907144848.024387,2.181936547715421e-08,3.651776648896102e-10
2021-06-05 04:44:42,2021-06-05 05:44:42,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",224,8,0,0,2549.24722,0.0,414,3921499.973739959,9996872906.286663,2.2407006881035237e-08,8.002502457512585e-10
