start_dt,end_dt,machine,benchmark,header,#SDC,#DUE,#abort,#end,acc_time,Time Beam Off,acc_err,Flux 1h,Fluency(Flux * $AccTime),Cross Section SDC,Cross Section DUE
2021-05-07 09:17:21,2021-05-07 10:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",0,1,0,0,13.516591,3597.547000000004,0,2672.0665098797786,36117.230138842424,0.0,2.7687616025807745e-05
2021-06-03 19:17:21,2021-06-03 20:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",212,15,0,0,2693.525738,450.4379999999998,444,3430835.3611923256,9241043348.212055,2.2941132511949257e-08,1.6231933381096173e-09
2021-06-03 21:17:21,2021-06-03 22:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",149,4,0,0,1852.320752,0.0,226,3921499.973739959,7263875780.325981,2.051246531549488e-08,5.506702098119431e-10
2021-06-03 22:17:21,2021-06-03 23:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",110,1,1,1,1119.8725570000001,0.0,190,3921499.973739959,4391580202.867601,2.504793147764272e-08,2.2770846797857018e-10
2021-06-04 00:17:21,2021-06-04 01:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",200,6,0,0,2542.279624,18.016,323,3901875.0449824864,9919657422.253057,2.0161986597574847e-08,6.048595979272454e-10
2021-06-04 01:17:21,2021-06-04 02:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",22,2,0,0,229.005789,0.0,42,3921499.973739959,898046195.5497985,2.4497626190077272e-08,2.2270569263706612e-09
2021-06-04 02:17:21,2021-06-04 03:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",225,2,1,1,2896.2106019999997,78.079,432,3836448.0858372804,11111161620.224537,2.0249907947559234e-08,1.799991817560821e-10
2021-06-04 05:17:21,2021-06-04 06:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",67,3,0,0,926.817996,0.0,88,3921499.973739959,3634516746.9757214,1.8434362712938564e-08,8.254192259524729e-10
2021-06-04 06:17:21,2021-06-04 07:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",119,6,0,0,1688.610796,0.0,191,3921499.973739959,6621887192.171011,1.7970707827927433e-08,9.060861089711311e-10
2021-06-04 07:17:21,2021-06-04 08:17:21,carol-raspberry1,Classification_ECC_OFF," model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt",55,3,0,0,521.507931,228.24399999999994,91,3672872.5181826525,1915432147.784195,2.8714146864259822e-08,1.5662261925959904e-09
